# form	lemma	pos	features
красивый	красивый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
красивого	красивый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
красивыйому	красивый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
красивыйым	красивый	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
красивыйом	красивый	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
красивая	красивый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
красиваой	красивый	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
красивую	красивый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
красивое	красивый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
красивые	красивый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
красивых	красивый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
красивыйым	красивый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
новый	новый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
нового	новый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
новому	новый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
новая	новый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
новую	новый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
новое	новый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
новые	новый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
новых	новый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
маленький	маленький	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
маленького	маленький	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
маленькийому	маленький	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
маленькийым	маленький	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
маленькийом	маленький	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
маленькая	маленький	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
маленькаой	маленький	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
маленькую	маленький	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
маленькое	маленький	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
маленькие	маленький	ADJ	number=plur|case=nom|adj_form=full|degree=pos
маленьких	маленький	ADJ	number=plur|case=gen|adj_form=full|degree=pos
маленькийым	маленький	ADJ	number=plur|case=dat|adj_form=full|degree=pos
большой	большой	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
большого	большой	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
большойому	большой	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
большойым	большой	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
большойом	большой	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
большая	большой	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
большаой	большой	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
большую	большой	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
большое	большой	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
большие	большой	ADJ	number=plur|case=nom|adj_form=full|degree=pos
больших	большой	ADJ	number=plur|case=gen|adj_form=full|degree=pos
большойым	большой	ADJ	number=plur|case=dat|adj_form=full|degree=pos
хороший	хороший	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
хорошего	хороший	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
хорошийому	хороший	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
хорошийым	хороший	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
хорошийом	хороший	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
хорошая	хороший	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
хорошаой	хороший	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
хорошую	хороший	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
хорошее	хороший	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
хорошие	хороший	ADJ	number=plur|case=nom|adj_form=full|degree=pos
хороших	хороший	ADJ	number=plur|case=gen|adj_form=full|degree=pos
хорошийым	хороший	ADJ	number=plur|case=dat|adj_form=full|degree=pos
важный	важный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
важного	важный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
важному	важный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
важныйому	важный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
важныйым	важный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
важныйом	важный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
важная	важный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
важнаой	важный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
важную	важный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
важное	важный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
важные	важный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
важных	важный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
важныйым	важный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
быстрый	быстрый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
быстрого	быстрый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
быстрыйому	быстрый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
быстрыйым	быстрый	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
быстрыйом	быстрый	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
быстрая	быстрый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
быстраой	быстрый	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
быструю	быстрый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
быстрое	быстрый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
быстрые	быстрый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
быстрых	быстрый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
быстрыйым	быстрый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
точный	точный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
точного	точный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
точныйому	точный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
точныйым	точный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
точныйом	точный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
точная	точный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
точнаой	точный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
точную	точный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
точное	точный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
точные	точный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
точных	точный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
точныйым	точный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
умный	умный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
умного	умный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
умныйому	умный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
умныйым	умный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
умныйом	умный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
умная	умный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
умнаой	умный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
умную	умный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
умное	умный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
умные	умный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
умных	умный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
умныйым	умный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
свободный	свободный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
свободного	свободный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
свободныйому	свободный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
свободныйым	свободный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
свободныйом	свободный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
свободная	свободный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
свободнаой	свободный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
свободную	свободный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
свободное	свободный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
свободные	свободный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
свободных	свободный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
свободныйым	свободный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
белый	белый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
белого	белый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
белыйому	белый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
белыйым	белый	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
белыйом	белый	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
белая	белый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
белаой	белый	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
белую	белый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
белое	белый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
белые	белый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
белых	белый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
белыйым	белый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
чёрный	чёрный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
чёрного	чёрный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
чёрныйому	чёрный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
чёрныйым	чёрный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
чёрныйом	чёрный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
чёрная	чёрный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
чёрнаой	чёрный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
чёрную	чёрный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
чёрное	чёрный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
чёрные	чёрный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
чёрных	чёрный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
чёрныйым	чёрный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
русский	русский	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
русского	русский	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
русскийому	русский	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
русскийым	русский	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
русскийом	русский	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
русская	русский	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
русскаой	русский	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
русскую	русский	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
русское	русский	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
русские	русский	ADJ	number=plur|case=nom|adj_form=full|degree=pos
русских	русский	ADJ	number=plur|case=gen|adj_form=full|degree=pos
русскийым	русский	ADJ	number=plur|case=dat|adj_form=full|degree=pos
первый	первый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
первого	первый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
первыйому	первый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
первыйым	первый	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
первыйом	первый	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
первая	первый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
перваой	первый	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
первую	первый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
первое	первый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
первые	первый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
первых	первый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
первыйым	первый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
последний	последний	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
последнего	последний	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
последнийому	последний	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
последнийым	последний	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
последнийом	последний	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
последняя	последний	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
последняой	последний	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
последнюю	последний	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
последнее	последний	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
последние	последний	ADJ	number=plur|case=nom|adj_form=full|degree=pos
последних	последний	ADJ	number=plur|case=gen|adj_form=full|degree=pos
последнийым	последний	ADJ	number=plur|case=dat|adj_form=full|degree=pos
высокий	высокий	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
высокого	высокий	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
высокийому	высокий	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
высокийым	высокий	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
высокийом	высокий	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
высокая	высокий	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
высокаой	высокий	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
высокую	высокий	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
высокое	высокий	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
высокие	высокий	ADJ	number=plur|case=nom|adj_form=full|degree=pos
высоких	высокий	ADJ	number=plur|case=gen|adj_form=full|degree=pos
высокийым	высокий	ADJ	number=plur|case=dat|adj_form=full|degree=pos
низкий	низкий	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
низкого	низкий	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
низкийому	низкий	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
низкийым	низкий	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
низкийом	низкий	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
низкая	низкий	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
низкаой	низкий	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
низкую	низкий	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
низкое	низкий	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
низкие	низкий	ADJ	number=plur|case=nom|adj_form=full|degree=pos
низких	низкий	ADJ	number=plur|case=gen|adj_form=full|degree=pos
низкийым	низкий	ADJ	number=plur|case=dat|adj_form=full|degree=pos
длинный	длинный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
длинного	длинный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
длинныйому	длинный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
длинныйым	длинный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
длинныйом	длинный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
длинная	длинный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
длиннаой	длинный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
длинную	длинный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
длинное	длинный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
длинные	длинный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
длинных	длинный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
длинныйым	длинный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
короткий	короткий	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
короткого	короткий	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
короткийому	короткий	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
короткийым	короткий	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
короткийом	короткий	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
короткая	короткий	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
короткаой	короткий	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
короткую	короткий	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
короткое	короткий	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
короткие	короткий	ADJ	number=plur|case=nom|adj_form=full|degree=pos
коротких	короткий	ADJ	number=plur|case=gen|adj_form=full|degree=pos
короткийым	короткий	ADJ	number=plur|case=dat|adj_form=full|degree=pos
старый	старый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
старого	старый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
старыйому	старый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
старыйым	старый	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
старыйом	старый	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
старая	старый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
стараой	старый	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
старую	старый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
старое	старый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
старые	старый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
старых	старый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
старыйым	старый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
молодой	молодой	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
молодого	молодой	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
молодойому	молодой	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
молодойым	молодой	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
молодойом	молодой	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
молодая	молодой	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
молодаой	молодой	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
молодую	молодой	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
молодое	молодой	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
молодые	молодой	ADJ	number=plur|case=nom|adj_form=full|degree=pos
молодых	молодой	ADJ	number=plur|case=gen|adj_form=full|degree=pos
молодойым	молодой	ADJ	number=plur|case=dat|adj_form=full|degree=pos
простой	простой	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
простого	простой	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
простойому	простой	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
простойым	простой	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
простойом	простой	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
простая	простой	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
простаой	простой	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
простую	простой	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
простое	простой	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
простые	простой	ADJ	number=plur|case=nom|adj_form=full|degree=pos
простых	простой	ADJ	number=plur|case=gen|adj_form=full|degree=pos
простойым	простой	ADJ	number=plur|case=dat|adj_form=full|degree=pos
сложный	сложный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
сложного	сложный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
сложныйому	сложный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
сложныйым	сложный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
сложныйом	сложный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
сложная	сложный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
сложнаой	сложный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
сложную	сложный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
сложное	сложный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
сложные	сложный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
сложных	сложный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
сложныйым	сложный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
красный	красный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
красного	красный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
красныйому	красный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
красныйым	красный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
красныйом	красный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
красная	красный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
краснаой	красный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
красную	красный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
красное	красный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
красные	красный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
красных	красный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
красныйым	красный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
синий	синий	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
синего	синий	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
синийому	синий	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
синийым	синий	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
синийом	синий	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
синяя	синий	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
синяой	синий	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
синюю	синий	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
синее	синий	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
синие	синий	ADJ	number=plur|case=nom|adj_form=full|degree=pos
синих	синий	ADJ	number=plur|case=gen|adj_form=full|degree=pos
синийым	синий	ADJ	number=plur|case=dat|adj_form=full|degree=pos
зелёный	зелёный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
зелёного	зелёный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
зелёныйому	зелёный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
зелёныйым	зелёный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
зелёныйом	зелёный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
зелёная	зелёный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
зелёнаой	зелёный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
зелёную	зелёный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
зелёное	зелёный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
зелёные	зелёный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
зелёных	зелёный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
зелёныйым	зелёный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
сильный	сильный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
сильного	сильный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
сильныйому	сильный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
сильныйым	сильный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
сильныйом	сильный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
сильная	сильный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
сильнаой	сильный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
сильную	сильный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
сильное	сильный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
сильные	сильный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
